"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Booking","Service booking","5","0","0","0","0"
"","Service Publish","Minimal service publication","0","0","5","0","0"
"","User Registration","Full registration","0","0","5","0","0"
"","Favorites","Add master to favorites","1","0","1","0","0"
"","Reviews","Review check","3","0","0","0","0"
"","Orders","Order cancel","2","0","0","0","0"
"","Orders","Order check","4","0","0","0","0"
"","Messages","2 users chatting tests","3","0","0","0","0"
"","Favorites","Remove master from favorites","1","0","0","0","0"
"","Reviews","Review master answers","1","0","0","0","0"
"","User Registration","Minimal registration","0","0","1","0","0"
