"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jan 13 08:12:41 GMT 2022","Thu Jan 13 08:13:28 GMT 2022","46871","","tests.professionalProfile.ProfessionalProfileTests","","tests.professionalProfile.ProfessionalProfileTests","t00008","Professional profile: certificates - change all the info and verify",""
"failed","Thu Jan 13 08:54:15 GMT 2022","Thu Jan 13 08:54:39 GMT 2022","23921","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00502","Conversation test: step 3 out of 3",""
"passed","Thu Jan 13 08:49:00 GMT 2022","Thu Jan 13 08:49:31 GMT 2022","30894","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00203","Basic booking online (2)",""
"passed","Thu Jan 13 08:22:20 GMT 2022","Thu Jan 13 08:23:05 GMT 2022","44863","","tests.regressionTests.ServicePublicationTests","","tests.regressionTests.ServicePublicationTests","t00001","Service publish: city is selectable - professional's place",""
"passed","Thu Jan 13 08:31:02 GMT 2022","Thu Jan 13 08:32:06 GMT 2022","63616","","tests.regressionTests.RegistrationTests","","tests.regressionTests.RegistrationTests","t00100","Email should not be case sensitive: register lowercase e-mail and try to log in with lower/upper/mixed case",""
"passed","Thu Jan 13 08:50:48 GMT 2022","Thu Jan 13 08:51:03 GMT 2022","14924","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00303","Master completes order: master's place",""
"passed","Thu Jan 13 08:35:19 GMT 2022","Thu Jan 13 08:36:23 GMT 2022","63723","","tests.regressionTests.RegistrationTests","","tests.regressionTests.RegistrationTests","t00104","Trying to register account with the same mixed case e-mail, but different formats: lowercase, mixed case, uppercase",""
"passed","Thu Jan 13 08:11:30 GMT 2022","Thu Jan 13 08:12:05 GMT 2022","35103","","tests.professionalProfile.ProfessionalProfileTests","","tests.professionalProfile.ProfessionalProfileTests","t00006","Professional profile: qualification - change all the info and verify",""
"failed","Thu Jan 13 08:47:36 GMT 2022","Thu Jan 13 08:48:19 GMT 2022","42248","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00201","Basic booking client's place",""
"failed","Thu Jan 13 08:13:28 GMT 2022","Thu Jan 13 08:14:30 GMT 2022","62093","","tests.professionalProfile.ProfessionalProfileTests","","tests.professionalProfile.ProfessionalProfileTests","t00100","Professional profile: full test",""
"passed","Thu Jan 13 08:55:22 GMT 2022","Thu Jan 13 08:55:43 GMT 2022","21110","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00602","Add master to favorite from master's profile",""
"passed","Thu Jan 13 08:26:22 GMT 2022","Thu Jan 13 08:27:00 GMT 2022","38485","","tests.regressionTests.ServicePublicationTests","","tests.regressionTests.ServicePublicationTests","t00300","Service publish: verify that with price range EUR currency stays the same",""
"passed","Thu Jan 13 08:23:26 GMT 2022","Thu Jan 13 08:23:48 GMT 2022","22042","","tests.regressionTests.ServicePublicationTests","","tests.regressionTests.ServicePublicationTests","t00101","Service publish: user can not select price range with min value: 0",""
"passed","Thu Jan 13 08:42:11 GMT 2022","Thu Jan 13 08:42:43 GMT 2022","32115","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00003","Basic Positive User Registration",""
"passed","Thu Jan 13 08:50:03 GMT 2022","Thu Jan 13 08:50:19 GMT 2022","16156","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00300","Check orders from user side",""
"failed","Thu Jan 13 08:36:23 GMT 2022","Thu Jan 13 08:37:11 GMT 2022","48099","","tests.regressionTests.RegistrationTests","","tests.regressionTests.RegistrationTests","t00105","Trying to register account with the same uppercase e-mail, but different formats: lowercase, mixed case, uppercase",""
"passed","Thu Jan 13 08:40:43 GMT 2022","Thu Jan 13 08:41:10 GMT 2022","27171","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00000","Full Positive User Registration - in order",""
"failed","Thu Jan 13 08:37:24 GMT 2022","Thu Jan 13 08:38:05 GMT 2022","40991","","tests.userProfile.UserProfileTests","","tests.userProfile.UserProfileTests","t00000","Full Positive User Registration for User Profile test",""
"failed","Thu Jan 13 08:53:02 GMT 2022","Thu Jan 13 08:53:26 GMT 2022","24742","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00403","Review answer",""
"passed","Thu Jan 13 08:43:06 GMT 2022","Thu Jan 13 08:43:36 GMT 2022","29541","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00005","Full Positive User Registration - mixed order 3",""
"passed","Thu Jan 13 08:29:04 GMT 2022","Thu Jan 13 08:29:57 GMT 2022","53715","","tests.regressionTests.SearchTests","","tests.regressionTests.SearchTests","t00001","'Best works' will show if filled",""
"passed","Thu Jan 13 08:23:48 GMT 2022","Thu Jan 13 08:24:10 GMT 2022","21817","","tests.regressionTests.ServicePublicationTests","","tests.regressionTests.ServicePublicationTests","t00102","Service publish: user can not select price range with max value: 0",""
"passed","Thu Jan 13 08:30:35 GMT 2022","Thu Jan 13 08:30:43 GMT 2022","8495","","tests.regressionTests.RegistrationTests","","tests.regressionTests.RegistrationTests","t00001","Phone number should not be autofilled if user's location unknown",""
"passed","Thu Jan 13 08:58:35 GMT 2022","Thu Jan 13 08:58:49 GMT 2022","13893","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00805","Search page search: speciality",""
"failed","Thu Jan 13 08:51:22 GMT 2022","Thu Jan 13 08:51:48 GMT 2022","26065","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00305","Master side order cancel",""
"passed","Thu Jan 13 08:18:07 GMT 2022","Thu Jan 13 08:19:07 GMT 2022","59975","","tests.regressionTests.BookingTests","","tests.regressionTests.BookingTests","t00001","Booking: your own service for another person",""
"passed","Thu Jan 13 08:25:43 GMT 2022","Thu Jan 13 08:26:22 GMT 2022","38631","","tests.regressionTests.ServicePublicationTests","","tests.regressionTests.ServicePublicationTests","t00300","Service publish: verify that with price range CAD currency stays the same",""
"failed","Thu Jan 13 08:21:35 GMT 2022","Thu Jan 13 08:22:20 GMT 2022","45412","","tests.regressionTests.ServicePublicationTests","","tests.regressionTests.ServicePublicationTests","t00000","Service publish: city is selectable - client's place",""
"passed","Thu Jan 13 08:58:21 GMT 2022","Thu Jan 13 08:58:35 GMT 2022","13854","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00804","Search page search: service name",""
"passed","Thu Jan 13 08:50:19 GMT 2022","Thu Jan 13 08:50:33 GMT 2022","14624","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00301","Master completes order: online",""
"passed","Thu Jan 13 08:38:05 GMT 2022","Thu Jan 13 08:38:29 GMT 2022","23440","","tests.userProfile.UserProfileTests","","tests.userProfile.UserProfileTests","t00001","Profile: functionality verification",""
"passed","Thu Jan 13 08:47:05 GMT 2022","Thu Jan 13 08:47:36 GMT 2022","31652","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00200","Basic booking online",""
"passed","Thu Jan 13 08:37:11 GMT 2022","Thu Jan 13 08:37:23 GMT 2022","12804","","tests.regressionTests.RegistrationTests","","tests.regressionTests.RegistrationTests","t00200","Country code and phone number inputs should be visible and interactable, after pup-up got canceled",""
"passed","Thu Jan 13 08:24:29 GMT 2022","Thu Jan 13 08:24:51 GMT 2022","22510","","tests.regressionTests.ServicePublicationTests","","tests.regressionTests.ServicePublicationTests","t00201","Service publish: element language retention start with Russian - check titles",""
"failed","Thu Jan 13 08:39:20 GMT 2022","Thu Jan 13 08:39:58 GMT 2022","37666","","tests.userProfile.UserProfileTests","","tests.userProfile.UserProfileTests","t00004","Profile: address - change info and verify",""
"passed","Thu Jan 13 08:43:36 GMT 2022","Thu Jan 13 08:44:14 GMT 2022","38542","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00100","Basic positive service publishing, service location: Online",""
"passed","Thu Jan 13 08:57:55 GMT 2022","Thu Jan 13 08:58:08 GMT 2022","12940","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00802","Main page search: speciality",""
"passed","Thu Jan 13 08:20:39 GMT 2022","Thu Jan 13 08:21:34 GMT 2022","55066","","tests.regressionTests.BookingTests","","tests.regressionTests.BookingTests","t00100","Booking: time step, can't navigate back in time via arrows",""
"passed","Thu Jan 13 08:55:03 GMT 2022","Thu Jan 13 08:55:22 GMT 2022","19741","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00601","Add master to favorite from search results",""
"passed","Thu Jan 13 08:44:14 GMT 2022","Thu Jan 13 08:44:59 GMT 2022","44626","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00101","Basic positive service publishing, service location: Client's place",""
"passed","Thu Jan 13 08:55:43 GMT 2022","Thu Jan 13 08:56:05 GMT 2022","21598","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00603","Add master to favorite from the service info",""
"passed","Thu Jan 13 08:49:31 GMT 2022","Thu Jan 13 08:50:03 GMT 2022","31529","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00204","Basic booking online (3)",""
"failed","Thu Jan 13 08:39:58 GMT 2022","Thu Jan 13 08:40:42 GMT 2022","44461","","tests.userProfile.UserProfileTests","","tests.userProfile.UserProfileTests","t00005","Profile: about - change info and verify",""
"failed","Thu Jan 13 08:09:28 GMT 2022","Thu Jan 13 08:10:04 GMT 2022","35913","","tests.professionalProfile.ProfessionalProfileTests","","tests.professionalProfile.ProfessionalProfileTests","t00001","Professional profile: info verification",""
"failed","Thu Jan 13 08:56:47 GMT 2022","Thu Jan 13 08:57:30 GMT 2022","43682","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00701","Basic booking: guest",""
"passed","Thu Jan 13 08:30:43 GMT 2022","Thu Jan 13 08:31:02 GMT 2022","18999","","tests.regressionTests.RegistrationTests","","tests.regressionTests.RegistrationTests","t00002","Phone number should be autofilled if user's location known",""
"passed","Thu Jan 13 08:33:10 GMT 2022","Thu Jan 13 08:34:15 GMT 2022","64534","","tests.regressionTests.RegistrationTests","","tests.regressionTests.RegistrationTests","t00102","Email should not be case sensitive: register mixed case e-mail and try to log in with lower/upper/mixed case",""
"failed","Thu Jan 13 08:52:13 GMT 2022","Thu Jan 13 08:52:37 GMT 2022","24422","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00401","Post and check review with a lot of characters",""
"passed","Thu Jan 13 08:27:39 GMT 2022","Thu Jan 13 08:28:17 GMT 2022","38383","","tests.regressionTests.ServicePublicationTests","","tests.regressionTests.ServicePublicationTests","t00300","Service publish: verify that with price range USD currency stays the same",""
"failed","Thu Jan 13 08:10:04 GMT 2022","Thu Jan 13 08:10:36 GMT 2022","31547","","tests.professionalProfile.ProfessionalProfileTests","","tests.professionalProfile.ProfessionalProfileTests","t00002","Professional profile: functionality verification",""
"passed","Thu Jan 13 08:38:29 GMT 2022","Thu Jan 13 08:38:52 GMT 2022","23150","","tests.userProfile.UserProfileTests","","tests.userProfile.UserProfileTests","t00002","Profile: main - change all the info and verify",""
"passed","Thu Jan 13 08:17:08 GMT 2022","Thu Jan 13 08:18:07 GMT 2022","58546","","tests.regressionTests.BookingTests","","tests.regressionTests.BookingTests","t00000","Booking: today's date",""
"passed","Thu Jan 13 08:08:17 GMT 2022","Thu Jan 13 08:09:28 GMT 2022","71230","","tests.professionalProfile.ProfessionalProfileTests","","tests.professionalProfile.ProfessionalProfileTests","t00000","Professional profile (preparations): account creation (Full Registration + Full Service Publication)",""
"passed","Thu Jan 13 08:57:42 GMT 2022","Thu Jan 13 08:57:55 GMT 2022","13014","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00801","Main page search: service name",""
"failed","Thu Jan 13 08:48:19 GMT 2022","Thu Jan 13 08:49:00 GMT 2022","41530","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00202","Basic booking master's place",""
"passed","Thu Jan 13 08:50:33 GMT 2022","Thu Jan 13 08:50:48 GMT 2022","14853","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00302","Master completes order: client's place",""
"failed","Thu Jan 13 08:16:17 GMT 2022","Thu Jan 13 08:17:07 GMT 2022","49594","","tests.regressionTests.UserProfileTests","","tests.regressionTests.UserProfileTests","t00000","Professional Profile: delete education",""
"passed","Thu Jan 13 08:24:10 GMT 2022","Thu Jan 13 08:24:29 GMT 2022","18567","","tests.regressionTests.ServicePublicationTests","","tests.regressionTests.ServicePublicationTests","t00200","Service publish: element language retention start with English - check titles",""
"failed","Thu Jan 13 08:54:39 GMT 2022","Thu Jan 13 08:55:03 GMT 2022","23976","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00600","Remove master from favorites",""
"passed","Thu Jan 13 08:46:29 GMT 2022","Thu Jan 13 08:47:05 GMT 2022","35828","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00104","Basic positive service publishing, service location: Online (2)",""
"passed","Thu Jan 13 08:44:59 GMT 2022","Thu Jan 13 08:45:43 GMT 2022","44158","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00102","Basic positive service publishing, service location: Professional's place",""
"passed","Thu Jan 13 08:15:26 GMT 2022","Thu Jan 13 08:16:16 GMT 2022","50341","","tests.regressionTests.ProfessionalProfileTests","","tests.regressionTests.ProfessionalProfileTests","t00001","Professional Profile: social share button should be clickable (another person)",""
"failed","Thu Jan 13 08:53:51 GMT 2022","Thu Jan 13 08:54:15 GMT 2022","23598","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00501","Conversation test: step 2 out of 3",""
"failed","Thu Jan 13 08:51:48 GMT 2022","Thu Jan 13 08:52:13 GMT 2022","24874","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00400","Post and check review with 10 words",""
"passed","Thu Jan 13 08:12:05 GMT 2022","Thu Jan 13 08:12:41 GMT 2022","36039","","tests.professionalProfile.ProfessionalProfileTests","","tests.professionalProfile.ProfessionalProfileTests","t00007","Professional profile: education - change all the info and verify",""
"passed","Thu Jan 13 08:58:08 GMT 2022","Thu Jan 13 08:58:21 GMT 2022","13118","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00803","Search page search: professional name",""
"passed","Thu Jan 13 08:23:05 GMT 2022","Thu Jan 13 08:23:26 GMT 2022","21245","","tests.regressionTests.ServicePublicationTests","","tests.regressionTests.ServicePublicationTests","t00100","Service publish: user can not select fixed price with the value: 0",""
"passed","Thu Jan 13 08:34:15 GMT 2022","Thu Jan 13 08:35:19 GMT 2022","64049","","tests.regressionTests.RegistrationTests","","tests.regressionTests.RegistrationTests","t00103","Trying to register account with the same lowercase e-mail, but different formats: lowercase, mixed case, uppercase",""
"passed","Thu Jan 13 08:24:51 GMT 2022","Thu Jan 13 08:25:21 GMT 2022","29560","","tests.regressionTests.ServicePublicationTests","","tests.regressionTests.ServicePublicationTests","t00202","Service publish: element language retention start with English - check lists",""
"passed","Thu Jan 13 08:41:45 GMT 2022","Thu Jan 13 08:42:11 GMT 2022","26510","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00002","Full Positive User Registration - mixed order 1",""
"failed","Thu Jan 13 08:10:36 GMT 2022","Thu Jan 13 08:11:30 GMT 2022","54460","","tests.professionalProfile.ProfessionalProfileTests","","tests.professionalProfile.ProfessionalProfileTests","t00004","Professional profile: main - change all the info and verify",""
"passed","Thu Jan 13 08:38:52 GMT 2022","Thu Jan 13 08:39:20 GMT 2022","27973","","tests.userProfile.UserProfileTests","","tests.userProfile.UserProfileTests","t00003","Profile: contacts - change info, add new and verify",""
"failed","Thu Jan 13 08:52:37 GMT 2022","Thu Jan 13 08:53:02 GMT 2022","24380","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00402","Post and check review add to favorites in the process",""
"passed","Thu Jan 13 08:57:30 GMT 2022","Thu Jan 13 08:57:42 GMT 2022","12011","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00800","Main page search: professional name",""
"passed","Thu Jan 13 08:42:43 GMT 2022","Thu Jan 13 08:43:06 GMT 2022","22780","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00004","Full Positive User Registration - mixed order 2",""
"passed","Thu Jan 13 08:41:10 GMT 2022","Thu Jan 13 08:41:45 GMT 2022","34467","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00001","Full Positive User Registration - reverse order",""
"passed","Thu Jan 13 08:32:06 GMT 2022","Thu Jan 13 08:33:10 GMT 2022","64356","","tests.regressionTests.RegistrationTests","","tests.regressionTests.RegistrationTests","t00101","Email should not be case sensitive: register uppercase e-mail and try to log in with lower/upper/mixed case",""
"passed","Thu Jan 13 08:51:03 GMT 2022","Thu Jan 13 08:51:22 GMT 2022","18720","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00304","Client side order cancel",""
"failed","Thu Jan 13 08:25:21 GMT 2022","Thu Jan 13 08:25:43 GMT 2022","22459","","tests.regressionTests.ServicePublicationTests","","tests.regressionTests.ServicePublicationTests","t00203","Service publish: element language retention start with Russian - check lists",""
"failed","Thu Jan 13 08:19:07 GMT 2022","Thu Jan 13 08:20:39 GMT 2022","91857","","tests.regressionTests.BookingTests","","tests.regressionTests.BookingTests","t00002","Booking: a service for another person",""
"failed","Thu Jan 13 08:14:31 GMT 2022","Thu Jan 13 08:15:26 GMT 2022","54562","","tests.regressionTests.ProfessionalProfileTests","","tests.regressionTests.ProfessionalProfileTests","t00000","Professional Profile: delete education",""
"passed","Thu Jan 13 08:28:18 GMT 2022","Thu Jan 13 08:29:04 GMT 2022","45439","","tests.regressionTests.SearchTests","","tests.regressionTests.SearchTests","t00000","'Best works' will not show if professional doesn't have any",""
"failed","Thu Jan 13 08:56:05 GMT 2022","Thu Jan 13 08:56:47 GMT 2022","41721","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00700","Basic booking from the main page: guest",""
"passed","Thu Jan 13 08:45:43 GMT 2022","Thu Jan 13 08:46:29 GMT 2022","45899","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00103","Basic positive service publishing with no account, service location: Online",""
"passed","Thu Jan 13 08:29:58 GMT 2022","Thu Jan 13 08:30:06 GMT 2022","7571","","tests.regressionTests.FooterTests","","tests.regressionTests.FooterTests","t00000","Footer: '/for-performers' can be opened via footer click",""
"failed","Thu Jan 13 08:53:26 GMT 2022","Thu Jan 13 08:53:51 GMT 2022","24641","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00500","Conversation test: step 1 out of 3",""
"passed","Thu Jan 13 08:30:07 GMT 2022","Thu Jan 13 08:30:35 GMT 2022","27879","","tests.regressionTests.RegistrationTests","","tests.regressionTests.RegistrationTests","t00000","Language retention after registration",""
"passed","Thu Jan 13 08:27:00 GMT 2022","Thu Jan 13 08:27:39 GMT 2022","38251","","tests.regressionTests.ServicePublicationTests","","tests.regressionTests.ServicePublicationTests","t00300","Service publish: verify that with price range RUB currency stays the same",""
