"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","User Registration","","2","0","9","0","0"
"","Schedule","","0","0","1","0","0"
"","Profile","","0","0","2","0","0"
"","User Profile","","2","0","4","0","0"
"","Service Publication","","3","0","13","0","0"
"","Professional Profile","","2","0","8","0","0"
"","Orders","","0","0","3","0","0"
"","Footer","","0","0","1","0","0"
"","Booking","","3","0","3","0","0"
"","Service Publish","Service publication with >=24h duration","1","0","2","0","0"
"","Schedule","Service stability","0","0","0","1","0"
"","Search","","0","0","2","0","0"
