"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 02 01:08:48 GMT 2022","Sat Apr 02 01:09:13 GMT 2022","25139","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00801","Main page search: service name",""
"passed","Sat Apr 02 01:00:24 GMT 2022","Sat Apr 02 01:01:02 GMT 2022","37889","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00305","Master side order cancel",""
"passed","Sat Apr 02 01:14:22 GMT 2022","Sat Apr 02 01:15:11 GMT 2022","48741","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","booking24hMaster","Booking a service with >24h duration - professional's place",""
"passed","Sat Apr 02 00:02:33 GMT 2022","Sat Apr 02 00:03:33 GMT 2022","59937","","tests.ordersTests.OrderShareTests","","tests.ordersTests.OrderShareTests","t00005","Share order: client without login, professional's place order",""
"passed","Sat Apr 02 00:22:13 GMT 2022","Sat Apr 02 00:23:01 GMT 2022","47255","","tests.regressionTests.ServicePublicationTests","","tests.regressionTests.ServicePublicationTests","t00000","Service publish: city is selectable - client's place",""
"failed","Sat Apr 02 00:01:50 GMT 2022","Sat Apr 02 00:02:33 GMT 2022","42677","","tests.ordersTests.OrderShareTests","","tests.ordersTests.OrderShareTests","t00004","Share order: client without login, client's place order",""
"passed","Sat Apr 02 01:05:24 GMT 2022","Sat Apr 02 01:06:04 GMT 2022","40299","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00602","Add master to favorite from master's profile",""
"passed","Sat Apr 02 00:49:23 GMT 2022","Sat Apr 02 00:50:01 GMT 2022","37976","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","servicePublishing24hOnline","Service publishing >24h duration, service location: Online",""
"passed","Sat Apr 02 00:16:18 GMT 2022","Sat Apr 02 00:16:55 GMT 2022","36329","","tests.regressionTests.ProfessionalProfileTests","","tests.regressionTests.ProfessionalProfileTests","masterProfileSocialShareClickableForAnotherPerson","Professional Profile: social share button should be clickable (another person)",""
"passed","Sat Apr 02 01:12:23 GMT 2022","Sat Apr 02 01:13:00 GMT 2022","36063","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","orderButtonBlockedFreshOrderMaster","Master can't complete order too early: master's place",""
"failed","Sat Apr 02 01:11:30 GMT 2022","Sat Apr 02 01:12:23 GMT 2022","53228","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","chatMessagesTest","Chat test",""
"passed","Sat Apr 02 00:56:12 GMT 2022","Sat Apr 02 00:57:01 GMT 2022","49510","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00200","Basic booking online",""
"failed","Sat Apr 02 00:44:33 GMT 2022","Sat Apr 02 00:45:17 GMT 2022","43557","","tests.userProfile.UserProfileSmokeTests","","tests.userProfile.UserProfileSmokeTests","userProfileAddressChangeTest","Profile: address - change info and verify",""
"passed","Sat Apr 02 00:28:58 GMT 2022","Sat Apr 02 00:29:41 GMT 2022","42768","","tests.regressionTests.ServicePublicationTests","","tests.regressionTests.ServicePublicationTests","t00300","Service publish: verify that with price range USD currency stays the same",""
"passed","Sat Apr 02 00:50:01 GMT 2022","Sat Apr 02 00:50:36 GMT 2022","34790","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00000","Basic Positive User Registration",""
"passed","Fri Apr 01 23:59:54 GMT 2022","Sat Apr 02 00:00:53 GMT 2022","59129","","tests.ordersTests.OrderShareTests","","tests.ordersTests.OrderShareTests","t00002","Share order: client logged in, professional's place order",""
"passed","Sat Apr 02 00:26:52 GMT 2022","Sat Apr 02 00:27:33 GMT 2022","41544","","tests.regressionTests.ServicePublicationTests","","tests.regressionTests.ServicePublicationTests","t00300","Service publish: verify that with price range CAD currency stays the same",""
"passed","Sat Apr 02 00:32:31 GMT 2022","Sat Apr 02 00:33:10 GMT 2022","39125","","tests.regressionTests.BookingTests","","tests.regressionTests.BookingTests","bookingCanNotSelectWrongDayViaBackArrows","Booking: time step, can't navigate back in time via arrows",""
"passed","Sat Apr 02 00:18:04 GMT 2022","Sat Apr 02 00:18:49 GMT 2022","44739","","tests.regressionTests.UserProfileTests","","tests.regressionTests.UserProfileTests","profileLanguageCheckboxesShown","Profile: language checkboxes are always present",""
"passed","Sat Apr 02 01:10:03 GMT 2022","Sat Apr 02 01:10:29 GMT 2022","25657","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00804","Search page search: service name",""
"passed","Sat Apr 02 00:42:23 GMT 2022","Sat Apr 02 00:43:20 GMT 2022","57623","","tests.regressionTests.OrdersTests","","tests.regressionTests.OrdersTests","ordersShouldBeVisibleOnAnyLanguage","Orders: order cards should be displayed correctly on any language",""
"failed","Sat Apr 02 00:40:46 GMT 2022","Sat Apr 02 00:41:24 GMT 2022","38412","","tests.regressionTests.RegistrationTests","","tests.regressionTests.RegistrationTests","t00105","Trying to register account with the same uppercase e-mail, but different formats: lowercase, mixed case, uppercase",""
"passed","Sat Apr 02 00:54:44 GMT 2022","Sat Apr 02 00:55:32 GMT 2022","47864","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00102","Basic positive service publishing, service location: Professional's place",""
"passed","Sat Apr 02 00:59:47 GMT 2022","Sat Apr 02 01:00:24 GMT 2022","36691","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00304","Client side order cancel",""
"passed","Sat Apr 02 00:18:50 GMT 2022","Sat Apr 02 00:19:22 GMT 2022","31720","","tests.regressionTests.SearchTests","","tests.regressionTests.SearchTests","t00000","'Best works' will not show if professional doesn't have any",""
"failed","Sat Apr 02 00:40:06 GMT 2022","Sat Apr 02 00:40:46 GMT 2022","39979","","tests.regressionTests.RegistrationTests","","tests.regressionTests.RegistrationTests","t00104","Trying to register account with the same mixed case e-mail, but different formats: lowercase, mixed case, uppercase",""
"passed","Sat Apr 02 00:43:20 GMT 2022","Sat Apr 02 00:43:56 GMT 2022","36221","","tests.regressionTests.OrdersTests","","tests.regressionTests.OrdersTests","ordersOutboxCorrectTitlesAfterBack","Orders: outbox titles should be correct after returning from a specific order",""
"passed","Sat Apr 02 00:21:49 GMT 2022","Sat Apr 02 00:22:13 GMT 2022","24699","","tests.regressionTests.ServicePublicationTests","","tests.regressionTests.ServicePublicationTests","publish4StepSpinnerWorks","Service publish: 4th step should be blocked by spinner after confirmation",""
"passed","Sat Apr 02 00:53:57 GMT 2022","Sat Apr 02 00:54:44 GMT 2022","47088","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00101","Basic positive service publishing, service location: Client's place",""
"passed","Sat Apr 02 00:51:05 GMT 2022","Sat Apr 02 00:51:43 GMT 2022","38209","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00002","Full Positive User Registration - reverse order",""
"passed","Sat Apr 02 01:10:54 GMT 2022","Sat Apr 02 01:11:30 GMT 2022","35723","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","orderButtonBlockedFreshOrderClient","Master can't complete order too early: client's place",""
"passed","Sat Apr 02 00:34:39 GMT 2022","Sat Apr 02 00:34:46 GMT 2022","7067","","tests.regressionTests.FooterTests","","tests.regressionTests.FooterTests","t00000","Footer: '/for-performers' can be opened via footer click",""
"passed","Sat Apr 02 01:13:00 GMT 2022","Sat Apr 02 01:13:34 GMT 2022","34097","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","orderButtonBlockedFreshOrderOnline","Master can't complete order too early: online",""
"passed","Sat Apr 02 00:19:22 GMT 2022","Sat Apr 02 00:20:00 GMT 2022","38538","","tests.regressionTests.SearchTests","","tests.regressionTests.SearchTests","t00001","'Best works' will show if filled",""
"passed","Sat Apr 02 00:24:40 GMT 2022","Sat Apr 02 00:25:06 GMT 2022","26439","","tests.regressionTests.ServicePublicationTests","","tests.regressionTests.ServicePublicationTests","t00102","Service publish: user can not select price range with max value: 0",""
"passed","Sat Apr 02 00:28:16 GMT 2022","Sat Apr 02 00:28:58 GMT 2022","41486","","tests.regressionTests.ServicePublicationTests","","tests.regressionTests.ServicePublicationTests","t00300","Service publish: verify that with price range RUB currency stays the same",""
"passed","Sat Apr 02 00:51:43 GMT 2022","Sat Apr 02 00:52:10 GMT 2022","27422","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00003","Full Positive User Registration - mixed order 1",""
"passed","Sat Apr 02 01:15:11 GMT 2022","Sat Apr 02 01:15:59 GMT 2022","47909","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","booking24hOnline","Booking a service with >24h duration - online",""
"passed","Sat Apr 02 00:53:15 GMT 2022","Sat Apr 02 00:53:57 GMT 2022","42119","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00100","Basic positive service publishing, service location: Online",""
"passed","Sat Apr 02 00:45:17 GMT 2022","Sat Apr 02 00:45:43 GMT 2022","26948","","tests.userProfile.UserProfileSmokeTests","","tests.userProfile.UserProfileSmokeTests","userProfileFunctionalityVerification","Profile: functionality verification",""
"failed","Fri Apr 01 23:58:49 GMT 2022","Fri Apr 01 23:59:54 GMT 2022","64094","","tests.ordersTests.OrderShareTests","","tests.ordersTests.OrderShareTests","t00001","Share order: client logged in, client's place order",""
"passed","Sat Apr 02 00:55:32 GMT 2022","Sat Apr 02 00:56:12 GMT 2022","39775","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00103","Basic positive service publishing with no account, service location: Online",""
"passed","Sat Apr 02 00:20:01 GMT 2022","Sat Apr 02 00:21:02 GMT 2022","60592","","tests.regressionTests.ScheduleTests","","tests.regressionTests.ScheduleTests","scheduleTimeCanBeSelectedWithPicker","Schedule: picker time selection is working",""
"passed","Sat Apr 02 00:21:02 GMT 2022","Sat Apr 02 00:21:49 GMT 2022","46172","","tests.regressionTests.ServicePublicationTests","","tests.regressionTests.ServicePublicationTests","publishScheduleEditAfterBack","Service publish: schedule can be edited after backing",""
"passed","Sat Apr 02 00:16:55 GMT 2022","Sat Apr 02 00:17:30 GMT 2022","35301","","tests.regressionTests.ProfessionalProfileTests","","tests.regressionTests.ProfessionalProfileTests","masterProfileLevelIsAlwaysInEnglish","Professional Profile: professional expertise level shouldn't be in English with Russian locale chosen",""
"passed","Sat Apr 02 00:03:33 GMT 2022","Sat Apr 02 00:04:32 GMT 2022","59808","","tests.ordersTests.OrderShareTests","","tests.ordersTests.OrderShareTests","t00006","Share order: client without account, online order",""
"failed","Sat Apr 02 00:45:43 GMT 2022","Sat Apr 02 00:46:30 GMT 2022","46817","","tests.userProfile.UserProfileSmokeTests","","tests.userProfile.UserProfileSmokeTests","t00005","Profile: about - change info and verify",""
