"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Booking","Service booking","3","0","2","0","0"
"","Reviews","Review check","1","0","2","0","0"
"","Messages","2 users chatting tests","0","0","1","0","0"
"","Orders","Orders Share","4","0","5","0","0"
"","User Registration","","3","0","8","0","0"
"","Service Publish","Minimal service publication","2","0","2","0","0"
"","Booking","","1","0","5","0","0"
"","Schedule","","4","0","1","0","0"
"","User Profile","","6","0","0","0","0"
"","User Registration","Full registration","0","0","5","0","0"
"","Professional Profile","","5","0","5","0","0"
"","Service Publication","","5","0","11","0","0"
"","Service Publish","Service publication with >=24h duration","2","0","1","0","0"
"","Profile","","2","0","0","0","0"
"","Favorites","Add master to favorites","3","0","0","0","0"
"","Search","Search from the main page","0","0","3","0","0"
"","Orders","Order check","1","0","3","0","0"
"","Schedule","Service stability","0","0","0","1","0"
"","Footer","","0","0","1","0","0"
"","Search","","1","0","1","0","0"
"","Orders","","3","0","0","0","0"
"","Search","Search from the search page","0","0","3","0","0"
"","Booking","Service booking with >=24h duration","3","0","0","0","0"
"","Favorites","Remove master from favorites","0","0","1","0","0"
"","Reviews","Review master answers","0","0","1","0","0"
"","User Registration","Minimal registration","0","0","1","0","0"
"","Orders","Order cancel","1","0","1","0","0"
