"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 12 15:57:58 GMT 2022","Wed Jan 12 15:58:25 GMT 2022","27008","","tests.userProfile.UserProfileTests","","tests.userProfile.UserProfileTests","t00003","Profile: contacts - change info, add new and verify",""
"passed","Wed Jan 12 16:08:49 GMT 2022","Wed Jan 12 16:09:09 GMT 2022","20460","","tests.regressionTests.ServicePublicationTests","","tests.regressionTests.ServicePublicationTests","t00102","Service publish: user can not select price range with max value: 0",""
"passed","Wed Jan 12 16:10:38 GMT 2022","Wed Jan 12 16:11:15 GMT 2022","36828","","tests.regressionTests.ServicePublicationTests","","tests.regressionTests.ServicePublicationTests","t00300","Service publish: verify that with price range CAD currency stays the same",""
"passed","Wed Jan 12 16:35:28 GMT 2022","Wed Jan 12 16:35:48 GMT 2022","20160","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00603","Add master to favorite from the service info",""
"passed","Wed Jan 12 16:34:48 GMT 2022","Wed Jan 12 16:35:08 GMT 2022","19194","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00601","Add master to favorite from search results",""
"failed","Wed Jan 12 16:39:30 GMT 2022","Wed Jan 12 16:39:55 GMT 2022","24298","","tests.professionalProfile.ProfessionalProfileTests","","tests.professionalProfile.ProfessionalProfileTests","t00002","Professional profile: functionality verification",""
"failed","Wed Jan 12 16:09:27 GMT 2022","Wed Jan 12 16:09:48 GMT 2022","21210","","tests.regressionTests.ServicePublicationTests","","tests.regressionTests.ServicePublicationTests","t00201","Service publish: element language retention start with Russian - check titles",""
"failed","Wed Jan 12 16:38:24 GMT 2022","Wed Jan 12 16:39:04 GMT 2022","39817","","tests.professionalProfile.ProfessionalProfileTests","","tests.professionalProfile.ProfessionalProfileTests","t00000","Professional profile (preparations): account creation (Full Registration + Full Service Publication)",""
"failed","Wed Jan 12 15:56:25 GMT 2022","Wed Jan 12 15:57:14 GMT 2022","48955","","tests.userProfile.UserProfileTests","","tests.userProfile.UserProfileTests","t00000","Full Positive User Registration for User Profile test",""
"passed","Wed Jan 12 16:05:31 GMT 2022","Wed Jan 12 16:06:30 GMT 2022","58973","","tests.regressionTests.RegistrationTests","","tests.regressionTests.RegistrationTests","t00105","Trying to register account with the same uppercase e-mail, but different formats: lowercase, mixed case, uppercase",""
