"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Service Publish","Minimal service publication","0","0","5","0","0"
"","Professional Profile","https://redmine.maxi-booking.ru/issues/4848","1","0","0","0","0"
"","Service Publication","https://redmine.maxi-booking.ru/issues/4900","0","0","4","0","0"
"","Reviews","Review check","0","0","3","0","0"
"","Service Publication","https://redmine.maxi-booking.ru/issues/4256","2","0","2","0","0"
"","Orders","Share order","3","0","6","0","0"
"","Search","Search from the main page","0","0","3","0","0"
"","Professional Profile verification","Professional Profile","5","0","3","0","0"
"","Booking","Service booking","2","0","5","0","0"
"","User Profile verification","User Profile","2","0","4","0","0"
"","Booking","https://redmine.maxi-booking.ru/issues/4764","1","0","1","0","0"
"","Service Publication","https://redmine.maxi-booking.ru/issues/4237","0","0","3","0","0"
"","Search","Search from the search page","0","0","3","0","0"
"","Orders","Order check","0","0","4","0","0"
"","User Registration","https://redmine.maxi-booking.ru/issues/4721","2","0","4","0","0"
"","Favorites","Remove master from favorites","0","0","1","0","0"
"","User Registration","Full registration","0","0","5","0","0"
"","Reviews","Review master answers","0","0","1","0","0"
"","User Registration","https://redmine.maxi-booking.ru/issues/4753","0","0","1","0","0"
"","Footer","https://redmine.maxi-booking.ru/issues/4928","0","0","1","0","0"
"","Booking","https://redmine.maxi-booking.ru/issues/4857","1","0","0","0","0"
"","User Registration","https://redmine.maxi-booking.ru/issues/4935","0","0","1","0","0"
"","Service Publication","https://redmine.maxi-booking.ru/issues/4887","0","0","2","0","0"
"","User Registration","https://redmine.maxi-booking.ru/issues/4873","0","0","2","0","0"
"","Booking","https://redmine.maxi-booking.ru/issues/4929","1","0","0","0","0"
"","Search","https://redmine.maxi-booking.ru/issues/4932","0","0","2","0","0"
"","Messages","2 users chatting tests","0","0","3","0","0"
"","Favorites","Add master to favorites","0","0","3","0","0"
"","Orders","Order cancel","1","0","1","0","0"
"","Service Publication","https://redmine.maxi-booking.ru/issues/4621","0","0","1","0","0"
"","Profile","https://redmine.maxi-booking.ru/issues/4844","0","0","1","0","0"
"","Professional Profile","https://redmine.maxi-booking.ru/issues/4909","0","0","1","0","0"
"","User Registration","Minimal registration","0","0","1","0","0"
